"ID"	"CLONEID"	"GSE22133_hitBLAT"	"GSE22133_geneSymbol"	"GSE22133_description"
"1370"	"H200017319"	"NM_014369"	"PTPN18"	"PTPN18 : protein tyrosine phosphatase, non-receptor type"
"1375"	"H200016607"	"NM_033169"	"B3GALT3"	"B3GALT3 : UDP-Gal:betaGlcNAc beta"
"1376"	"H200017301"	"NM_000945"	"PPP3R1"	"PPP3R1 : protein phosphatase 3, regulatory subunit B,"
"1377"	"H200016541"	"NM_003313"	"TSTA3"	"TSTA3 : tissue specific transplantation antigen P35B"
"1378"	"H200017325"	"NM_005532"	"IFI27"	"IFI27 : interferon, alpha-inducible protein 27"
"1379"	"H200016565"	"NM_024918"	"C20orf172"	"C20orf172 : DSN1, MIND kinetochore complex component,"
"1383"	"H200016613"	"NM_018091"	"ELP3"	"ELP3 : elongation protein 3 homolog"
"1386"	"H200017699"	"NM_148672"	"CCL28"	"CCL28 : chemokine (C-C motif) ligand 28 precursor"
"1389"	"H200016963"	"NM_022104"	"C20orf67"	"C20orf67 : phosphorylated CTD interacting factor 1"
"1391"	"H200016987"	"NM_024928"	"OBFC1"	"OBFC1 : oligonucleotide/oligosaccharide-binding fold"
"1398"	"H200015401"	"NM_003463"	"PTP4A1"	"PTP4A1 : protein tyrosine phosphatase type IVA, member 1"
"1399"	"H200014641"	"NM_001839"	"CNN3"	"CNN3 : calponin 3"
"1400"	"H200015425"	"NM_033543"	"CEACAM21"	"CEACAM21 : carcinoembryonic antigen-related cell adhesion"
"1405"	"H200014713"	"NM_012426"	"SF3B3"	"SF3B3 : splicing factor 3b, subunit 3"
"1407"	"H200015015"	"uc001ptl.1"	"TMEM25"	"TMEM25 : transmembrane protein 25"
"1410"	"H200015823"	"NM_000362"	"TIMP3"	"TIMP3 : tissue inhibitor of metalloproteinase 3"
"1416"	"H200015805"	"NM_178812"	"MTDH"	"MTDH : LYRIC/3D3"
"1420"	"H200015853"	"NM_032373"	"PCGF5"	"PCGF5 : polycomb group ring finger 5"
"1422"	"H200016155"	"NM_012476"	"VAX2"	"VAX2 : ventral anterior homeobox 2"
"1423"	"H200015395"	"NM_004470"	"FKBP2"	"FKBP2 : FK506-binding protein 2 precursor"
"1428"	"H200016227"	"NM_018316"	"KLHL26"	"KLHL26 : kelch-like 26"
"1430"	"H200013899"	"NM_003866"	"INPP4B"	"INPP4B : inositol polyphosphate-4-phosphatase, type II,"
"1431"	"H200013139"	"NM_003514"	"HIST1H2AM"	"HIST1H2AM : H2A histone family, member N"
"1432"	"H200013923"	"NM_005736"	"ACTR1A"	"ACTR1A : ARP1 actin-related protein 1 homolog A,"
"1437"	"H200013121"	"NM_033033"	"KRTHB2"	"KRTHB2 : keratin 82"
"1438"	"H200013905"	"NM_004358"	"CDC25B"	"CDC25B : cell division cycle 25B isoform 2"
"1440"	"H200013929"	"NM_015050"	"KIAA0082"	"KIAA0082 : hypothetical protein LOC23070"
"1442"	"H200013953"	"NM_001186"	"BACH1"	"BACH1 : BTB and CNC homology 1 isoform a"
"1443"	"H200013193"	"NM_001033561"	"PHF12"	"PHF12 : PHD finger protein 12 isoform 1"
"1448"	"H200014303"	"NM_018257"	"PCMTD2"	"PCMTD2 : protein-L-isoaspartate (D-aspartate)"
"1456"	"H200014309"	"NM_007144"	"PCGF2"	"PCGF2 : ring finger protein 110"
"1459"	"H200013573"	"NM_001975"	"ENO2"	"ENO2 : enolase 2"
"1461"	"H200013875"	"NM_012291"	"ESPL1"	"ESPL1 : extra spindle poles like 1"
"1473"	"H200011667"	"NM_017907"	"C11orf59"	"C11orf59 : hypothetical protein LOC55004"
"1475"	"H200011601"	"NM_024069"	"MGC2749"	"MGC2749 : hypothetical protein LOC79036"
"1476"	"H200012385"	"NM_004720"	"EDG4"	"EDG4 : endothelial differentiation, lysophosphatidic"
"1481"	"H200011673"	"NM_020137"	"GRIPAP1"	"GRIPAP1 : GRIP1 associated protein 1 isoform 1"
"1483"	"H200011975"	"NM_033012"	"TNFSF11"	"TNFSF11 : tumor necrosis factor ligand superfamily, member"
"1488"	"H200012807"	"NM_004384"	"CSNK1G3"	"CSNK1G3 : casein kinase 1, gamma 3 isoform 1"
"1491"	"H200011981"	"NM_016580"	"PCDH12"	"PCDH12 : protocadherin 12 precursor"
"1492"	"H200012765"	"NM_001080469"	"FBXO46"	"FBXO46 : F-box protein 46"
"1500"	"H200010509"	"NM_138394"	"HNRPLL"	"HNRPLL : heterogeneous nuclear ribonucleoprotein L-like"
"1502"	"H200010533"	"NM_014727"	"MLL4"	"MLL4 : myeloid/lymphoid or mixed-lineage leukemia 4"
"1504"	"H200010835"	"NM_018957"	"SH3BP1"	"SH3BP1 : SH3-domain binding protein 1"
"1511"	"H200010147"	"NM_022765"	"MICAL1"	"MICAL1 : microtubule associated monoxygenase, calponin"
"1512"	"H200010841"	"uc001jxd.1"	"AK023445"	"AK023445 : Homo sapiens cDNA FLJ13383 fis, clone PLACE1001024."
"1513"	"H200010081"	"NM_004347"	"CASP5"	"CASP5 : caspase 5 precursor"
"1514"	"H200010865"	"NM_001025778"	"VRK3"	"VRK3 : vaccinia related kinase 3 isoform 2"
"1515"	"H200010105"	"NM_018208"	"ETNK2"	"ETNK2 : ethanolamine kinase 2"
"1516"	"H200010889"	"NM_019045"	"WDR44"	"WDR44 : WD repeat domain 44 protein"
"1517"	"H200010129"	"NM_017684"	"VPS13C"	"VPS13C : vacuolar protein sorting 13C protein isoform 1A"
"1518"	"H200010913"	"NM_052956"	"ACSM1"	"ACSM1 : acyl-CoA synthetase medium-chain family member"
"1520"	"H200011215"	"NM_001007270"	"GEMIN7"	"GEMIN7 : gemin 7"
"1522"	"H200011239"	"NM_024709"	"C1orf115"	"C1orf115 : hypothetical protein LOC79762"
"1523"	"H200010479"	"NM_015898"	"ZBTB7A"	"ZBTB7A : zinc finger and BTB domain containing 7A"
"1527"	"H200010527"	"NM_030768"	"ILKAP"	"ILKAP : integrin-linked kinase-associated protein"
"1529"	"H200010461"	"NM_198963"	"DHX57"	"DHX57 : DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57"
"1533"	"H200008247"	"NM_003624"	"RANBP3"	"RANBP3 : RAN binding protein 3 isoform RANBP3-a"
"1543"	"H200008555"	"NM_001010867"	"C1orf69"	"C1orf69 : hypothetical protein LOC200205"
"1546"	"H200009363"	"NM_025129"	"FLJ22688"	"FLJ22688 : fuzzy homolog"
"1547"	"H200008603"	"NM_021082"	"SLC15A2"	"SLC15A2 : solute carrier family 15 (H+/peptide"
"1549"	"H200008627"	"NM_007353"	"GNA12"	"GNA12 : guanine nucleotide binding protein (G protein)"
"1550"	"H200009321"	"NM_003420"	"ZNF35"	"ZNF35 : zinc finger protein 35"
"1553"	"H200008585"	"NM_004435"	"ENDOG"	"ENDOG : endonuclease G precursor"
"1554"	"H200009369"	"NM_025130"	"HKDC1"	"HKDC1 : hexokinase domain containing 1"
"1565"	"H200006655"	"NM_014743"	"KIAA0232"	"KIAA0232 : hypothetical protein LOC9778"
"1567"	"H200006679"	"NM_005611"	"RBL2"	"RBL2 : retinoblastoma-like 2 (p130)"
"1570"	"H200007487"	"NM_019598"	"KLK12"	"KLK12 : kallikrein 12 isoform 1"
"1571"	"H200006727"	"NM_012329"	"MMD"	"MMD : monocyte to macrophage"
"1574"	"H200007445"	"NM_019589"	"YLPM1"	"YLPM1 : N/A"
"1575"	"H200006685"	"NM_012198"	"GCA"	"GCA : grancalcin, EF-hand calcium binding protein"
"1576"	"H200007469"	"NM_016952"	"CDON"	"CDON : surface glycoprotein, Ig superfamily member"
"1580"	"H200007795"	"NM_003836"	"DLK1"	"DLK1 : delta-like 1 homolog isoform 1"
"1583"	"H200007059"	"NM_003282"	"TNNI2"	"TNNI2 : troponin I, skeletal, fast"
"1586"	"H200007867"	"NM_003318"	"TTK"	"TTK : TTK protein kinase"
"1588"	"H200007801"	"NM_005376"	"MYCL1"	"MYCL1 : l-myc-1 proto-oncogene isoform 2"
"1589"	"H200007041"	"NM_002389"	"CD46"	"CD46 : CD46 antigen, complement regulatory protein"
"1593"	"H200007089"	"NM_032343"	"CHCHD6"	"CHCHD6 : coiled-coil-helix-coiled-coil-helix domain"
"1595"	"H200007113"	"NM_002494"	"NDUFC1"	"NDUFC1 : NADH dehydrogenase (ubiquinone) 1, subcomplex"
"1602"	"H200005895"	"NM_000904"	"NQO2"	"NQO2 : NAD(P)H dehydrogenase, quinone 2"
"1603"	"H200005135"	"NM_172341"	"PSENEN"	"PSENEN : presenilin enhancer 2"
"1604"	"H200005919"	"NM_016732"	"RALY"	"RALY : RNA binding protein (autoantigenic,"
"1607"	"H200005183"	"NM_017897"	"OXSM"	"OXSM : 3-oxoacyl-ACP synthase, mitochondrial"
"1608"	"H200005967"	"NM_001006115"	"IHPK1"	"IHPK1 : inositol hexaphosphate kinase 1 isoform 2"
"1609"	"H200005207"	"NM_003149"	"STAC"	"STAC : SH3 and cysteine rich domain"
"1611"	"H200005141"	"NM_022772"	"EPS8L2"	"EPS8L2 : epidermal growth factor receptor pathway"
"1615"	"H200005189"	"NM_006856"	"ATF7"	"ATF7 : activating transcription factor 7"
"1616"	"H200005973"	"NM_003257"	"TJP1"	"TJP1 : tight junction protein 1 isoform a"
"1617"	"H200005213"	"NM_001409"	"MEGF6"	"MEGF6 : EGF-like-domain, multiple 3"
"1618"	"H200006275"	"NM_001748"	"CAPN2"	"CAPN2 : calpain 2, large subunit"
"1620"	"H200006299"	"NM_000506"	"F2"	"F2 : coagulation factor II precursor"
"1621"	"H200005539"	"NM_014772"	"KIAA0427"	"KIAA0427 : hypothetical protein LOC9811"
"1622"	"H200006323"	"NM_006741"	"PPP1R1A"	"PPP1R1A : protein phosphatase 1, regulatory (inhibitor)"
"1623"	"H200005563"	"NM_015037"	"KIAA0913"	"KIAA0913 : hypothetical protein LOC23053"
"1624"	"H200006347"	"NM_004359"	"CDC34"	"CDC34 : ubiquitin-conjugating enzyme Cdc34"
"1626"	"H200006281"	"NM_182744"	"NBL1"	"NBL1 : neuroblastoma, suppression of tumorigenicity 1"
"1627"	"H200005521"	"NM_080548"	"PTPN6"	"PTPN6 : protein tyrosine phosphatase, non-receptor type"
"1628"	"H200006305"	"NM_006099"	"PIAS3"	"PIAS3 : protein inhibitor of activated STAT, 3"
"1629"	"H200005545"	"NM_003183"	"ADAM17"	"ADAM17 : ADAM metallopeptidase domain 17 preproprotein"
"1636"	"H200004049"	"NM_018022"	"TMEM51"	"TMEM51 : transmembrane protein 51"
"1640"	"H200004375"	"NM_006006"	"ZBTB16"	"ZBTB16 : promyelocytic leukemia zinc finger protein"
"1643"	"H200003639"	"NM_001382"	"DPAGT1"	"DPAGT1 : UDP-N-acetylglucosamine-dolichyl-phosphate"
"1644"	"H200004423"	"NM_001025108"	"AFF3"	"AFF3 : AF4/FMR2 family, member 3 isoform 2"
"1645"	"H200003663"	"NM_032019"	"HDAC10"	"HDAC10 : histone deacetylase 10"
"1649"	"H200003621"	"NM_001042355"	"CYLD"	"CYLD : ubiquitin carboxyl-terminal hydrolase CYLD"
"1653"	"H200003669"	"NM_052880"	"MGC17330"	"MGC17330 : HGFL protein"
"1656"	"H200004755"	"NM_000334"	"SCN4A"	"SCN4A : voltage-gated sodium channel type 4 alpha"
"1663"	"H200004067"	"NM_003098"	"SNTA1"	"SNTA1 : acidic alpha 1 syntrophin"
"1665"	"H200004001"	"NM_020654"	"SENP7"	"SENP7 : sentrin/SUMO-specific protease 7 isoform 1"
"1669"	"H200001787"	"NM_016085"	"C2orf28"	"C2orf28 : apoptosis related protein 3 isoform a"
"1671"	"H200001721"	"NM_001897"	"CSPG4"	"CSPG4 : chondroitin sulfate proteoglycan 4"
"1673"	"H200001745"	"NM_016172"	"UBADC1"	"UBADC1 : ubiquitin associated domain containing 1"
"1674"	"H200002529"	"NM_032324"	"C1orf57"	"C1orf57 : hypothetical protein LOC84284"
"1675"	"H200001769"	"NM_006480"	"RGS14"	"RGS14 : regulator of G-protein signalling 14"
"1680"	"H200002879"	"NM_017593"	"BMP2K"	"BMP2K : BMP-2 inducible kinase isoform b"
"1681"	"H200002119"	"NM_015270"	"ADCY6"	"ADCY6 : adenylate cyclase 6 isoform a"
"1683"	"H200002143"	"NM_018686"	"CMAS"	"CMAS : cytidine 5'-monophosphate N-acetylneuraminic"
"1687"	"H200002101"	"NM_003170"	"SUPT6H"	"SUPT6H : suppressor of Ty 6 homolog"
"1690"	"H200002909"	"NM_182752"	"FAM79A"	"FAM79A : hypothetical protein LOC127262"
"1692"	"H200002933"	"NM_001017405"	"MAEA"	"MAEA : macrophage erythroblast attacher isoform 1"
"1693"	"H200002173"	"NM_015268"	"DNAJC13"	"DNAJC13 : DnaJ (Hsp40) homolog, subfamily C, member 13"
"1694"	"H200003235"	"NM_013366"	"ANAPC2"	"ANAPC2 : anaphase-promoting complex subunit 2"
"1698"	"H200003283"	"NM_022497"	"MRPS25"	"MRPS25 : mitochondrial ribosomal protein S25"
"1700"	"H200003307"	"NM_001042453"	"MST4"	"MST4 : serine/threonine protein kinase MST4 isoform 2"
"1702"	"H200000979"	"NM_152272"	"CHMP7"	"CHMP7 : CHMP family, member 7"
"1703"	"H200000219"	"NM_000191"	"HMGCL"	"HMGCL : 3-hydroxymethyl-3-methylglutaryl-Coenzyme A"
"1705"	"H200000243"	"NM_003143"	"SSBP1"	"SSBP1 : single-stranded DNA binding protein 1"
"1706"	"H200001027"	"NM_006698"	"BLCAP"	"BLCAP : bladder cancer associated protein"
"1707"	"H200000267"	"NM_000316"	"PTHR1"	"PTHR1 : parathyroid hormone receptor 1 precursor"
"1709"	"H200000201"	"NM_000419"	"ITGA2B"	"ITGA2B : integrin alpha 2b preproprotein"
"1710"	"H200000985"	"NM_015997"	"C1orf66"	"C1orf66 : hypothetical protein LOC51093"
"1712"	"H200001009"	"NM_198976"	"TH1L"	"TH1L : TH1-like protein"
"1714"	"H200001033"	"NM_020314"	"MGC16824"	"MGC16824 : hypothetical protein LOC57020"
"1716"	"H200001335"	"NM_014159"	"SETD2"	"SETD2 : huntingtin interacting protein B"
"1718"	"H200001359"	"NM_015701"	"C2orf30"	"C2orf30 : chromosome 2 open reading frame 30"
"1721"	"H200000623"	"NM_014878"	"KIAA0020"	"KIAA0020 : KIAA0020 protein"
"1722"	"H200001407"	"NM_001005408"	"KIAA1787"	"KIAA1787 : hypothetical protein LOC84461 isoform 2"
"1723"	"H200000647"	"NM_000283"	"PDE6B"	"PDE6B : phosphodiesterase 6B, cGMP-specific, rod, beta"
"1724"	"H200001341"	"uc003fwu.1"	"AK025697"	"AK025697 : Homo sapiens cDNA: FLJ22044 fis, clone HEP09141."
"1725"	"H200000581"	"NM_002950"	"RPN1"	"RPN1 : ribophorin I precursor"
"1731"	"H200000653"	"NM_001958"	"EEF1A2"	"EEF1A2 : eukaryotic translation elongation factor 1 alpha"
"1732"	"H200001715"	"NM_032208"	"ANTXR1"	"ANTXR1 : tumor endothelial marker 8 isoform 1 precursor"
"1733"	"H200000955"	"NM_015353"	"KCTD2"	"KCTD2 : potassium channel tetramerisation domain"
"1734"	"H200001739"	"NM_032305"	"POLR3GL"	"POLR3GL : polymerase (RNA) III (DNA directed) polypeptide"
"1768"	"H200008223"	"uc001mhn.1"	"TMEM41B"	"TMEM41B : transmembrane protein 41B"
"2323"	"H300005105"	"NM_001034841"	"LOC162073"	"LOC162073 : hypothetical protein LOC162073"
"2327"	"H300008753"	"uc002sgg.1"	"BC127846"	"BC127846 : Homo sapiens cDNA clone IMAGE:4393471, partial cds."
"2333"	"H300000571"	"NM_080753"	"WFDC10A"	"WFDC10A : WAP four-disulfide core domain 10A precursor"
"2335"	"H300006973"	"NM_006315"	"PCGF3"	"PCGF3 : ring finger protein 3"
"2338"	"H300006448"	"NM_173477"	"USH1G"	"USH1G : Usher syndrome 1G protein"
"2344"	"H200003158"	"NM_022495"	"C14orf135"	"C14orf135 : hypothetical protein LOC64430"
"2350"	"H300000670"	"NM_001018067"	"SERBP1"	"SERBP1 : SERPINE1 mRNA binding protein 1 isoform 1"
"2353"	"H300008144"	"NM_152365"	"C1orf172"	"C1orf172 : hypothetical protein LOC126695"
"2386"	"H300014550"	"NM_017757"	"ZNF407"	"ZNF407 : zinc finger protein 407"
"2387"	"H300006439"	"NM_178019"	"CATSPER3"	"CATSPER3 : cation channel, sperm associated 3"
"2388"	"H300010266"	"NM_138705"	"CALML6"	"CALML6 : calmodulin-like 6"
"2395"	"H300014569"	"NM_153254"	"TTLL10"	"TTLL10 : tubulin tyrosine ligase-like family, member 10"
"2396"	"H300005095"	"NM_144638"	"TMEM42"	"TMEM42 : transmembrane protein 42"
"2398"	"H300011553"	"NM_178817"	"MRAP"	"MRAP : melanocortin 2 receptor accessory protein"
"2402"	"H300003656"	"NM_001410"	"MEGF8"	"MEGF8 : EGF-like-domain, multiple 4"
"2405"	"H300007107"	"NM_144589"	"COMTD1"	"COMTD1 : catechol-O-methyltransferase domain containing"
"2411"	"H300016624"	"uc001ovl.1"	"RNF169"	"RNF169 : RING finger protein 169."
"2417"	"H200021084"	"NM_004332"	"BPHL"	"BPHL : biphenyl hydrolase-like"
"2424"	"H300001192"	"NM_001029865"	"DBX1"	"DBX1 : developing brain homeobox 1"
"2426"	"H300003340"	"NM_012456"	"TIMM10"	"TIMM10 : translocase of inner mitochondrial membrane 10"
"2430"	"H300021956"	"NM_001467"	"SLC37A4"	"SLC37A4 : solute carrier family 37 (glycerol-6-phosphate"
"2440"	"H300018325"	"NM_181783"	"TMTC3"	"TMTC3 : transmembrane and tetratricopeptide repeat"
"2445"	"H300021867"	"NM_032560"	"KIAA2010"	"KIAA2010 : SMEK homolog 1, suppressor of mek1"
"2447"	"H300017404"	"NM_001083614"	"EARS2"	"EARS2 : N/A"
"2449"	"H200019492"	"NM_032564"	"DGAT2"	"DGAT2 : diacylglycerol O-acyltransferase homolog 2"
"2452"	"H200020300"	"NM_005276"	"GPD1"	"GPD1 : glycerol-3-phosphate dehydrogenase 1 (soluble)"
"2457"	"H200019498"	"uc003myu.1"	"TFAP2A"	"TFAP2A : transcription factor AP-2 alpha isoform b - ALARM!"
"2459"	"H200019522"	"NM_201269"	"ZNF644"	"ZNF644 : zinc finger protein 644 isoform 1"
"2461"	"H200019546"	"uc004exm.1"	"MGC16121"	"MGC16121 : Homo sapiens hypothetical protein MGC16121, mRNA (cDNA clone IMAGE:3627113), complete cds."
"2469"	"H200019920"	"NM_024966"	"SEMA6D"	"SEMA6D : semaphorin 6D isoform 6 precursor"
"2471"	"H200019944"	"NM_002264"	"KPNA1"	"KPNA1 : karyopherin alpha 1"
"2474"	"H200020662"	"uc002nuq.1"	"PEPD"	"PEPD : Homo sapiens cDNA FLJ32976 fis, clone TESTI2014036, highly similar to XAA-PRO DIPEPTIDASE (EC 3.4.13.9)."
"2477"	"H200019926"	"NM_030881"	"DDX17"	"DDX17 : DEAD box polypeptide 17 isoform 2"
"2481"	"H200020252"	"uc003yso.1"	"BC014119"	"BC014119 : Homo sapiens, clone IMAGE:4549923, mRNA, partial cds."
"2487"	"H200017972"	"NM_018964"	"SLC37A1"	"SLC37A1 : solute carrier family 37 member 1"
"2489"	"H200017996"	"NM_025191"	"C1orf22"	"C1orf22 : ER degradation enhancer, mannosidase alpha-like"
"2500"	"H200018810"	"NM_002092"	"GRSF1"	"GRSF1 : G-rich RNA sequence binding factor 1"
"2506"	"H200019160"	"NM_031212"	"SLC25A28"	"SLC25A28 : solute carrier family 25, member 28"
"2508"	"H200019184"	"NM_080916"	"DGUOK"	"DGUOK : deoxyguanosine kinase isoform a precursor"
"2512"	"H200019142"	"NM_145165"	"CHURC1"	"CHURC1 : churchill domain containing 1"
"2516"	"H200019190"	"uc001mlo.1"	"CYP2R1"	"CYP2R1 : Homo sapiens cDNA FLJ35265 fis, clone PROST2005039, weakly similar to CYTOCHROME P450 2J2 (EC 1.14.14.1)."
"2519"	"H200016102"	"NM_005430"	"WNT1"	"WNT1 : wingless-type MMTV integration site family,"
"2524"	"H200017212"	"NM_001803"	"CD52"	"CD52 : CD52 antigen"
"2526"	"H200017236"	"NM_005569"	"LIMK2"	"LIMK2 : LIM domain kinase 2 isoform 2a"
"2530"	"H200017284"	"NM_014634"	"PPM1F"	"PPM1F : protein phosphatase 1F"
"2531"	"H200016524"	"NM_016179"	"TRPC4"	"TRPC4 : transient receptor potential 4"
"2537"	"H200016506"	"NM_018198"	"DNAJC11"	"DNAJC11 : DnaJ (Hsp40) homolog, subfamily C, member 11"
"2538"	"H200017290"	"NM_003309"	"TSPYL1"	"TSPYL1 : TSPY-like 1"
"2539"	"H200016530"	"uc001avb.1"	"RP4-597A16.1"	"RP4-597A16.1 : Novel leucine rich repeat domain containing protein."
"2540"	"H200017592"	"NM_000327"	"ROM1"	"ROM1 : retinal outer segment membrane protein 1"
"2548"	"H200017598"	"NM_052967"	"MAS1L"	"MAS1L : mas-related G protein-coupled MRG"
"2550"	"H200017622"	"NM_001093756"	"FLJ13611"	"FLJ13611 : N/A"
"2555"	"H200014558"	"NM_023947"	"CHID1"	"CHID1 : chitinase domain containing 1"
"2556"	"H200015342"	"NM_003644"	"GAS7"	"GAS7 : growth arrest-specific 7 isoform a"
"2559"	"H200014606"	"NM_007295"	"BRCA1"	"BRCA1 : breast cancer 1, early onset isoform 1"
"2561"	"H200014630"	"NM_014232"	"VAMP2"	"VAMP2 : vesicle-associated membrane protein 2"
"2563"	"H200014932"	"NM_001008409"	"TTLL9"	"TTLL9 : tubulin tyrosine ligase-like family, member 9"
"2567"	"H200014980"	"NM_004040"	"RHOB"	"RHOB : ras homolog gene family, member B"
"2571"	"H200014938"	"NM_006538"	"BCL2L11"	"BCL2L11 : BCL2-like 11 isoform 6"
"2574"	"H200015746"	"NM_153350"	"FBXL16"	"FBXL16 : F-box and leucine-rich repeat protein 16"
"2577"	"H200015010"	"NM_022916"	"VPS33A"	"VPS33A : vacuolar protein sorting 33A"
"2581"	"H200015336"	"uc002bcp.1"	"C15orf5"	"C15orf5 : Homo sapiens C15orf5 mRNA, complete cds."
"2582"	"H200016120"	"NM_005450"	"NOG"	"NOG : noggin precursor"
"2583"	"H200015360"	"NM_004376"	"COX15"	"COX15 : COX15 homolog isoform 2 precursor"
"2584"	"H200016144"	"NM_005094"	"SLC27A4"	"SLC27A4 : solute carrier family 27 (fatty acid"
"2585"	"H200013032"	"NM_004843"	"IL27RA"	"IL27RA : class I cytokine receptor"
"2587"	"H200013056"	"NM_005709"	"USH1C"	"USH1C : harmonin isoform a"
"2592"	"H200013798"	"NM_005923"	"MAP3K5"	"MAP3K5 : mitogen-activated protein kinase kinase kinase"
"2594"	"H200013822"	"NM_003358"	"UGCG"	"UGCG : ceramide glucosyltransferase"
"2596"	"H200013846"	"NM_004507"	"HUS1"	"HUS1 : HUS1 checkpoint protein"
"2607"	"H200013484"	"NM_006311"	"NCOR1"	"NCOR1 : nuclear receptor co-repressor 1"
"2608"	"H200014178"	"NM_144711"	"KLHL23"	"KLHL23 : kelch-like 23"
"2610"	"H200014202"	"NM_002928"	"RGS16"	"RGS16 : regulator of G-protein signalling 16"
"2611"	"H200013442"	"uc002xda.1"	"C20orf124"	"C20orf124 : Chromosome 20 open reading frame 124 (Fragment)."
"2614"	"H200014250"	"NM_018840"	"C20orf24"	"C20orf24 : RAB5-interacting protein isoform a"
"2617"	"H200013792"	"NM_004094"	"EIF2S1"	"EIF2S1 : eukaryotic translation initiation factor 2,"
"2618"	"H200014576"	"NM_022346"	"HCAP-G"	"HCAP-G : chromosome condensation protein G"
"2620"	"H200011970"	"NM_022836"	"DCLRE1B"	"DCLRE1B : DNA cross-link repair 1B (PSO2 homolog, S."
"2621"	"H200011210"	"NM_005451"	"PDLIM7"	"PDLIM7 : PDZ and LIM domain 7 isoform 1"
"2622"	"H200012272"	"NM_004226"	"STK17B"	"STK17B : serine/threonine kinase 17b"
"2625"	"H200011536"	"NM_014718"	"CLSTN3"	"CLSTN3 : calsyntenin 3"
"2627"	"H200011560"	"NM_016162"	"ING4"	"ING4 : inhibitor of growth family, member 4"
"2628"	"H200012344"	"NM_015947"	"ASCC1"	"ASCC1 : activating signal cointegrator 1 complex subunit"
"2629"	"H200011584"	"NM_006963"	"ZNF22"	"ZNF22 : zinc finger protein 22 (KOX 15)"
"2630"	"H200012278"	"NM_003270"	"TSPAN6"	"TSPAN6 : transmembrane 4 superfamily member 6"
"2631"	"H200011518"	"NM_021807"	"EXOC4"	"EXOC4 : SEC8 protein isoform a"
"2634"	"H200012326"	"NM_000637"	"GSR"	"GSR : glutathione reductase"
"2636"	"H200012350"	"NM_015859"	"GTF2A1"	"GTF2A1 : TFIIA alpha, p55 isoform 1"
"2643"	"H200011940"	"NM_003253"	"TIAM1"	"TIAM1 : T-cell lymphoma invasion and metastasis 1"
"2649"	"H200011922"	"NM_022730"	"COPS7B"	"COPS7B : COP9 constitutive photomorphogenic homolog"
"2650"	"H200012706"	"uc001crl.1"	"BC006113"	"BC006113 : Homo sapiens, clone IMAGE:3354505, mRNA."
"2653"	"H200009618"	"NM_005589"	"ALDH6A1"	"ALDH6A1 : aldehyde dehydrogenase 6A1 precursor"
"2654"	"H200010402"	"NM_001040716"	"PC"	"PC : pyruvate carboxylase precursor"
"2655"	"H200009642"	"NM_002210"	"ITGAV"	"ITGAV : integrin alpha-V precursor"
"2656"	"H200010426"	"uc002rmo.1"	"WDR43"	"WDR43 : WD repeat protein 43."
"2657"	"H200009666"	"NM_004514"	"FOXK2"	"FOXK2 : forkhead box K2"
"2658"	"H200010450"	"NM_006410"	"HTATIP2"	"HTATIP2 : HIV-1 Tat interactive protein 2, 30kDa"
"2659"	"H200009690"	"NM_006324"	"CFDP1"	"CFDP1 : craniofacial development protein 1"
"2662"	"H200010776"	"NM_152657"	"GGN"	"GGN : gametogenetin"
"2667"	"H200010064"	"NM_015103"	"PLXND1"	"PLXND1 : plexin D1"
"2668"	"H200010758"	"NM_019022"	"TXNDC10"	"TXNDC10 : thioredoxin domain containing 10"
"2669"	"H200009998"	"NM_014808"	"FARP2"	"FARP2 : FERM, RhoGEF and pleckstrin domain protein 2"
"2670"	"H200010782"	"NM_005338"	"HIP1"	"HIP1 : huntingtin interacting protein 1"
"2673"	"H200010046"	"NM_015085"	"GARNL4"	"GARNL4 : GTPase activating Rap/RanGAP domain-like 4"
"2677"	"H200010372"	"NM_000120"	"EPHX1"	"EPHX1 : epoxide hydrolase 1, microsomal (xenobiotic)"
"2679"	"H200010396"	"NM_003789"	"TRADD"	"TRADD : TNFRSF1A-associated via death domain"
"2681"	"H200010420"	"NM_014731"	"ProSAPiP1"	"ProSAPiP1 : ProSAPiP1 protein"
"2682"	"H200011204"	"NM_182916"	"TRNT1"	"TRNT1 : tRNA nucleotidyl transferase, CCA-adding, 1"
"2683"	"H200010444"	"uc003ntj.1"	"MICA"	"MICA : MHC class I polypeptide-related sequence A (OTTHUMP00000035034)."
"2686"	"H200011162"	"NM_001007466"	"TULP4"	"TULP4 : tubby like protein 4 isoform 2"
"2689"	"H200008164"	"NM_001823"	"CKB"	"CKB : brain creatine kinase"
"2690"	"H200008858"	"NM_033296"	"MRFAP1"	"MRFAP1 : Mof4 family associated protein 1"
